,text,emotion
1,What ’ s wrong with that ? Cigarette is the thing I go crazy for .,anger
2,"Getting worse . Now he ’ s eating me out of house and home . I ’ Ve tried talking to him but it all goes in one ear and out the other . He makes himself at home , which is fine . But what really gets me is that yesterday he walked into the living room in the raw and I had company over ! That was the last straw .",anger
3,OK . We'll wait .,happiness
4,Thanks a lot . That's the favor I was going to ask you for .,happiness
6,"Isn ’ t he the best instructor ? I think he ’ s so hot . Wow ! I really feel energized , don ’ t you ?",happiness
7,What ’ s wrong ? Didn ’ t you think it was fun ? !,surprise
8,Sounds delicious . OK . She'll try that .,happiness
9,Good mastery . How do you like our Chinese food ?,happiness
10,"Oh , great ! It's delicious . You see , I am already putting on weight . There is one thing I don't like however , MSG .",happiness
11,What's wrong with MSG ? It helps to bring out the taste of the food .,surprise
13,But your American ?,surprise
14,Yes . Thank you .,happiness
16,By all means .,happiness
17,"No , the steak was recommended , but it is not very fresh .",anger
18,Oh ! Sorry to hear that . This is quite unusual as we have steak from the market every day .,sadness
19,So what ? It is not fresh and I'm not happy about it .,anger
20,"I'm sorry , sir . Do you wish to try something else ? That would be on the house , of course .",sadness
21,"No , thank you .",anger
23,They must be popular again this season .,happiness
26,"Right , I'll be right over .",happiness
28,You have good taste . Let my show you what I have .,happiness
31,"Great , I'll take one .",happiness
32,"Wow , that sounds like a bargain . I'm running low on facial moisturizer and toner . Could you ring those up for me too along with the blush ?",happiness
34,By all means . (= Of course . ),happiness
35,Shame on you !,anger
36,"Thank you , the service was good",happiness
37,Please come again .,happiness
38,"Thank you , I'll be right back . Do you need any to go boxes ? I'd be glad to bring you some when I come back .",happiness
39,"Yes , we do , thank you .",happiness
41,I'm fine . I'm just so touched by the sad story .,sadness
42,"Did you ? I didn't notice that . But still you should know it , for you have seen it with Laura before .",surprise
47,"No doubt , it's not a simple thing to put on a ' phantom show ' .",happiness
51,"Oh , yes . Just show me where the fitting rooms are now . I can't wait to try this on .",happiness
53,Thanks .,happiness
54,I'm really sorry . I'll face the music .,sadness
55,Are you nuts ?,surprise
59,"I'm sorry , that's bad luck .",sadness
60,I'm sorry I'm late .,sadness
61,I'm sorry . I think we're out of this skirt in this color . Do you want me to call another one of our store to see if it's available there ?,sadness
62,"Yes , I did , thanks .",happiness
63,Sorry . The road is too crowded .,sadness
64,Sorry . We mustn't stop here .,sadness
65,"Oh , I'm sorry .",sadness
68,"Oh , I'm sorry .",sadness
69,"Oh , I'm sorry .",sadness
72,That's not fair !,anger
73,Sorry . I didn't mean to .,sadness
74,Not back home for dinner again ? That ’ s the third time this week !,anger
75,I ’ m sorry . Our company has just opened . There are always too many things to handle . You know that .,sadness
76,Thank you for understanding . I promise I ’ ll make it up to you .,happiness
77,I hate doing the damn laundry .,anger
78,No ! Are you kidding me ?,surprise
79,I ’ m afraid not . I apologize .,sadness
80,I can ’ t believe it ! I have all my important personal documents stored in that computer . It ’ s no laughing matter .,anger
81,I told you I ’ m sorry . What can I do to make it up to you ?,sadness
82,"Well , you should be sorry ! Don ’ t ever use my computer again ! You can ’ t do anything now , it ’ s too late !",anger
84,Great .,happiness
85,Thanks for helping me out . I really appreciate it .,happiness
86,Anytime .,happiness
87,I'd be glad to .,happiness
88,"But mum , we're watching this movie .",sadness
89,Thanks very much .,happiness
94,Excellent ! I like it ! When can I move in ?,happiness
96,Good .,happiness
97,"Yes , you should have .",anger
99,Really ? You ’ Ve helped me a lot . Thank you .,happiness
101,"13924774026 . All right . Thanks for calling . Oh , hang on , someone's at the door that may be him , please hold on .",happiness
102,It's good to be home .,happiness
105,I can't believe it 。,surprise
106,Man ! That car almost hit me !,anger
107,The washing machine isn't working again .,anger
108,I ’ m sorry ? !,surprise
110,Thank you so much . I'll try and catch that .,happiness
111,It must be interesting .,happiness
113,"Yes , please . I can't stand watching the channel any more .",anger
114,Really ? Who will play ?,surprise
115,Kata ! You've got a beautiful singing voice . You hit the high notes perfectly .,happiness
116,Thank you for your compliment . But you are exaggerating . I think you are destined to be a singer . You have the best voice !,happiness
118,"Yes , I'd like to . It's my honor . Let's pick a song .",happiness
119,"I'm mad ! I said now ! Turn off the TV , and do it now .",anger
120,"Peter , if you don't do it soon , I will throw your toys in the trash can .",anger
121,"Sorry , I'm late .",sadness
122,Thanks a lot .,happiness
124,"Dad , but I don't want to share a room with Peter . He snores every night .",sadness
127,That's my good girl . The clothes need washing . I'll do the laundry .,happiness
