,text,emotion
0,"Hey, Joy come in here.",neutral
1,What's happening?,neutral
2,I have to go back.,sadness
3,I just got a letter I have to go back.,sadness
4,When?,xxx
5,First thing tomorrow morning.,sadness
6,Are you kidding me?,surprise
7,How...,frustration
8,"I don't understand, I don't underst--",xxx
9,How can they do that?,frustration
10,They can do it.,xxx
11,They said you're home for at least four years.,frustration
12,"I guess they can do it,",frustration
13,"The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.",sadness
14,[BREATHING],frustration
15,That's not fair.,frustration
16,I can't believe it. I just got back.,xxx
17,"So yeah, we leave tomorrow...",sadness
18,[BREATHING],frustration
19,...we're all shipping out.,sadness
20,I just got I feel like I'm in shock actually.,sadness
21,I don't even know what to tell you.,sadness
22,I don't know.,sadness
23,What about the birthday party?,sadness
24,I guess you're just going to have to have it without me.,sadness
25,"Hey listen, it's going to be okay though, all right?",sadness
26,You're going to be fine.,sadness
27,Me?  I'm not worried about me.,xxx
28,"I'm going to be fine too, okay?",sadness
29,How do you know?,xxx
30,I know I have a good... I have a really good group of guys with me.,sadness
31,We're going to be okay.,sadness
32,You're going with the same ones?,sadness
33,Do promise me you're going to take a lot of pictures.,sadness
34,"Always, I always do.",xxx
35,I know.,sadness
36,It's not the same though.,sadness
37,I just wish there was something I could do.,sadness
38,We could hide away.,xxx
39,Run away?,sadness
40,Mm hmm.  We'll build a bunker and never come out.,sadness
41,"I really don't want to go, I don't want to go...",sadness
42,[LAUGHTER] Mmm.,xxx
43,I'm scared.,xxx
44,Don't say that.,sadness
45,I'll send you a letter every single day.,xxx
46,I love you.,sadness
47,I love you too.,xxx
48,So what's up?  What's new?,neutral
49,Well Vegas was awesome.,happiness
50,Yeah.  I heard.,neutral
51,"And, um, I got married.",happiness
52,Shut up.  No- in Vegas?,surprise
53,Yeah.  In the old town part.,happiness
54,Who did you marry?,excited
55,Chuck. [LAUGHTER],xxx
56,Did you propose to you?,xxx
57,Um- Yes.  It was very romantic.,happiness
58,It was at the slot machines.,happiness
59,Oh.  The Wheel of Fortune slots?,xxx
60,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",happiness
61,He turned to you and was like...,neutral
62,Hey.  Let's get married and I said okay.,xxx
63,[LAUGHTER] That's really romantic.,happiness
64,"Yeah.  Well.  You know, because he's leaving the next day.",happiness
65,Yeah.,neutral
66,But we're going to have a honeymoon cruise.,happiness
67,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neutral
68,Oh.  I hadn't even thought about that.,happiness
69,Yeah.  Think about that.,xxx
70,"He's not going to be a citizen, though.",xxx
